,Seven_Day_Total,Theaters,Distributor,runtime,release_date,budget,keywords_count,log_total_marketing_assets,director_weighted_rating,weekend_release,is_holiday,holiday_type,spoken_languages_iso,same_release_date_count,same_day_competitors,has_same_day_competitor,month_sin,month_cos,budget_log,cast_top5_popularity_sum_log,is_franchise,franchise_size,franchise_size_log,installment_number,is_sequel,keywords_count_log,kw_superhero,kw_animation,kw_horror,kw_romance,kw_family,kw_biopic,kw_fantasy_scifi,kw_action_adventure,kw_crime_thriller,kw_comedy_drama,genres_norm,num_genres,num_production_companies,has_major_studio,num_prodcos_log,mpaa_std,is_US,is_China,is_India,num_countries
1541,12664691.0,2719.0,twentieth century fox,103.0,2010-07-23,15000000.0,5.0,3.970291913552122,7.229014107142857,1,0,none,['en'],1,0,0,1.2246469e-16,-1.0,16.52356082573315,2.7185020563360154,0,0,0.0,0,0,1.791759469228055,0,0,0,0,0,0,0,0,0,0,comedy|family,2,2,0,1.0986123,G,1,0,0,1
1542,45600066.0,4101.0,warner bros.,107.0,2018-04-11,120000000.0,23.0,3.8501476017100584,6.303259303456201,0,0,none,"['en', 'es']",1,0,0,1.0,6.123234e-17,18.603002309079653,3.2460122781142213,0,0,0.0,0,0,3.1780538303479458,0,0,0,0,0,0,0,0,0,0,action|adventure|science fiction,3,7,0,2.0794415,PG-13,1,0,0,1
1543,45603254.0,3917.0,paramount pictures,112.0,2011-03-02,135000000.0,21.0,3.828641396489095,6.848513136930238,0,0,none,['en'],2,1,1,0.8660254,0.5,18.72078534381011,3.3528751080148793,0,0,0.0,0,0,3.091042453358316,0,0,0,0,0,0,0,0,0,0,adventure|animation|comedy|family|western,5,5,1,1.7917595,PG,1,0,0,2
1544,14692161.0,2550.0,paramount pictures,112.0,2001-08-17,48000000.0,4.0,3.784189633918261,6.881803086649312,1,0,none,['en'],1,0,0,-0.5,-0.8660254,17.6867115897055,2.247632479880065,0,0,0.0,0,0,1.6094379124341003,0,0,0,0,0,0,0,0,0,0,adventure|comedy,2,4,1,1.609438,Unrated,1,0,0,2
1545,5633633.0,2891.0,focus features,94.0,2016-04-13,20000000.0,12.0,3.1780538303479458,5.751911512027491,0,0,none,['en'],1,0,0,1.0,6.123234e-17,16.811242881518265,2.155927933150595,0,0,0.0,0,0,2.5649493574615367,0,0,0,0,0,0,0,0,0,0,action|adventure|animation|family,4,3,0,1.3862944,PG,1,0,0,3
1546,10337165.0,2045.0,walt disney studios motion pictures,107.0,2021-03-03,100000000.0,8.0,5.877735781779639,7.702016974816761,0,0,none,['en'],1,0,0,0.8660254,0.5,18.420680753952364,2.265090888566465,0,0,0.0,0,0,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,action|adventure|animation|family|fantasy,5,1,1,0.6931472,PG,1,0,0,1
1547,68346687.0,4234.0,warner bros.,140.0,2018-03-28,175000000.0,17.0,5.455321115357702,7.433766198619391,0,0,none,['en'],1,0,0,0.8660254,0.5,18.980296537602072,2.3873673206086594,0,0,0.0,0,0,2.8903717578961645,0,0,0,0,0,0,0,0,0,0,action|adventure|science fiction,3,5,1,1.7917595,PG-13,1,0,1,7
1548,13040462.0,2270.0,fox searchlight pictures,95.0,2019-08-21,6000000.0,17.0,3.970291913552122,6.883821802151823,0,0,none,['en'],2,1,1,-0.5,-0.8660254,15.607270193858982,2.878518450865164,1,2,1.0986123,1,0,2.8903717578961645,0,0,0,0,0,0,0,0,0,0,comedy|horror,2,5,1,1.7917595,R,1,0,0,1
1549,6465672.0,2585.0,warner bros.,107.0,2000-04-07,24000000.0,2.0,2.9444389791664403,5.616646420824295,1,0,none,['en'],3,2,1,1.0,6.123234e-17,16.993564429978885,2.3021449961656417,0,0,0.0,0,0,1.0986122886681096,0,0,0,0,0,0,0,0,0,0,action|comedy,2,2,1,1.0986123,Unrated,1,0,0,1
1550,13300040.0,2754.0,showbiz direct,141.0,2024-08-29,25000000.0,45.0,4.02535169073515,6.088591111111112,0,0,none,"['en', 'ru']",2,1,1,-0.5,-0.8660254,17.034386422832473,2.373434905964138,0,0,0.0,0,0,3.828641396489095,0,0,0,0,0,0,0,0,0,0,drama|history,2,3,0,1.3862944,Unrated,1,0,0,1
1551,35439801.0,3440.0,walt disney studios motion pictures,127.0,2011-09-28,110000000.0,10.0,3.5553480614894135,7.148735338932001,0,0,none,['en'],2,1,1,-0.8660254,-0.5,18.5159909328476,2.9479958040532988,0,0,0.0,0,0,2.3978952727983707,0,0,0,0,0,0,0,0,0,0,action|drama|science fiction,3,4,0,1.609438,PG-13,1,0,1,2
1552,15771328.0,2624.0,walt disney studios motion pictures,82.0,2001-02-16,10000000.0,5.0,3.7612001156935624,7.655080808080807,1,0,none,['en'],1,0,0,0.5,0.8660254,16.118095750958314,2.1929599411328295,0,4,1.609438,0,0,1.791759469228055,0,0,0,0,0,0,0,0,0,0,animation|comedy|family,3,2,1,1.0986123,Unrated,1,0,0,1
1553,23429569.0,2679.0,filmdistrict,93.0,2012-03-15,65000000.0,7.0,2.833213344056216,5.704,0,0,none,"['en', 'ko']",2,1,1,0.8660254,0.5,17.989897843244528,3.149307073308432,0,0,0.0,0,0,2.0794415416798357,0,0,0,0,0,0,0,0,0,0,action|thriller,2,2,0,1.0986123,PG-13,1,0,0,1
1554,97813.0,67.0,lionsgate,93.0,2011-10-07,73476.0,2.0,2.1972245773362196,7.468869565217392,1,0,none,['es'],2,1,1,-1.0,-1.8369701e-16,11.204727711059563,1.300137164668716,0,0,0.0,0,0,1.0986122886681096,0,0,0,0,0,0,0,0,0,0,comedy|drama|romance,3,3,0,1.3862944,R,0,0,0,1
